;Vanguard Consumer Discretion ETF (VCR);Vanguard Consumer Staples ETF (VDC);Vanguard Energy ETF (VDE);Vanguard Financials ETF (VFH);Vanguard Health Care ETF (VHT);Vanguard Industrials ETF (VIS);Vanguard Information Tech ETF (VGT);Vanguard Materials ETF (VAW);Vanguard REIT ETF (VNQ);Vanguard Communication Services ETF (VOX);Vanguard Utilities ETF (VPU)
17/08/2016;118.6753693;123.1564484;80.12360382;44.50923538;125.7030106;102.4220505;110.6104584;97.93893433;72.44520569;85.81978607;92.56442261
18/08/2016;118.6846542;123.5669785;81.71809387;44.51817703;125.8324966;102.7427597;110.7897034;98.64644623;72.17785645;85.79270935;93.73303223
19/08/2016;118.6475296;123.2700043;81.05370331;44.45556641;125.6475372;102.843544;111.0349884;98.73718262;71.71604156;85.08875275;92.65755463
22/08/2016;118.5083313;123.3835526;80.16511536;44.50923538;126.1746521;102.7427597;110.9878082;98.70995331;72.10492706;85.197052;92.94550323
23/08/2016;119.2043076;123.1739502;80.60525513;44.58974075;126.3411255;103.0267944;111.5066376;99.39933014;72.14544678;85.45878601;92.58136749
24/08/2016;118.5176086;122.9643173;80.25646973;44.52712631;124.112442;102.6694489;110.8934784;98.10219574;71.82949066;85.38658905;92.53903198
25/08/2016;118.1464386;122.5363235;80.09037018;44.66128922;123.1414413;102.6511383;111.1198654;98.70088196;72.15355682;85.86491394;92.61522675
26/08/2016;117.8030701;122.0122375;79.89105988;44.66128922;123.7240295;102.3120956;111.2236633;98.22919464;71.44059753;85.20610046;90.82000732
29/08/2016;118.1278763;122.6673584;80.40597534;45.07275391;124.0292282;102.9076767;111.5255356;99.2179184;72.14544678;86.04541779;91.52285767
30/08/2016;117.6082001;122.0472031;80.06546021;45.41265106;123.6408005;102.7793961;111.3180008;98.94580078;72.00771332;85.86491394;90.62525177
31/08/2016;117.311264;122.2655716;78.94432831;45.43949127;123.1599197;102.275444;111.2142258;98.1566391;72.08061218;85.77467346;90.87928009
01/09/2016;117.6082001;122.1869507;78.67855835;45.22481537;122.9657593;102.3304291;111.629303;98.41967773;71.90238953;85.41366577;90.4812851
02/09/2016;117.8773117;123.1389999;79.5173645;45.48421097;123.1414413;102.8252182;112.1010056;99.35399628;72.5262146;86.13565063;91.75151062
06/09/2016;118.164978;123.4010086;80.76306152;45.21587753;123.8350143;102.5320129;112.5821152;99.36305237;73.08524323;86.45153809;92.68299103
07/09/2016;118.3412933;122.3354111;81.07032776;45.26953888;123.8719788;102.7427597;112.8462601;99.32678223;73.52272034;86.92085266;92.75920105
08/09/2016;117.3948135;121.7764206;82.52363586;45.30532837;124.0476837;102.6602783;111.8934402;98.72808838;72.6234436;86.8396225;93.10639191
09/09/2016;114.5460052;118.4223938;80.06546021;44.67918396;121.412117;99.59989929;109.2614365;95.67120361;69.74734497;83.95156097;89.72762299
12/09/2016;116.2441254;120.5274048;80.77966309;45.11747742;123.3633728;100.9193573;110.9972458;96.68713379;70.57372284;86.14468384;91.11640167
13/09/2016;114.5552673;119.0337601;78.36300659;44.40190125;121.6803131;99.22421265;110.214241;94.64617157;68.80187988;84.1591568;89.8715744
14/09/2016;114.5738297;118.6057892;77.3747406;44.17827225;121.6803131;98.97682953;110.7708435;94.51011658;69.02213287;84.05084991;90.13409424
15/09/2016;115.5110626;119.6102829;78.26332092;44.55395126;123.0674744;99.8656311;112.600975;95.1632309;69.28317261;85.00753021;90.86235046
16/09/2016;115.1306;119.1386261;77.64047241;44.07094574;123.307869;99.16008759;112.1858978;94.82759857;69.31580353;84.89922333;91.66682434
19/09/2016;115.1769943;119.0599747;77.59897614;44.32138824;122.9194946;99.59989929;112.0632858;95.21765137;69.94395447;84.79092407;92.58136749
20/09/2016;115.1620865;119.2656479;76.92353821;44.34028244;123.3539429;99.43318176;112.0377045;94.96697235;69.83790588;83.93609619;92.43533325
